event layer r x y z
25 1 405.228 369.593 166.165 282.296
25 3 570.76 517.874 239.945 330.362
25 4 766.94 694.456 325.466 368.203
25 5 773.508 700.512 328.021 366.344
25 6 1007.08 911.212 428.847 418.15
25 6 989.809 895.598 421.457 415.84
25 7 996.159 901.746 423.305 417.976
26 0 293.332 260.336 135.162 170.913
26 1 389.057 347.186 175.577 207.831
26 2 567.352 509.59 249.411 233.928
26 3 573.982 515.6 252.214 256.229
26 4 767.412 694.117 327.296 319.868
26 5 774.261 699.97 330.94 317.883
26 6 1003.94 913.93 415.486 368.179
26 7 1010.53 919.925 418.22 366.366
27 1 404.935 397.192 78.8067 160.08
27 2 559.776 543.15 135.413 183.499
27 3 566.567 549.505 137.995 183.213
27 4 759.095 728.938 211.837 220.937
27 5 765.997 735.131 215.255 220.802
27 6 998.832 949.384 310.378 221.171
27 7 1005.43 955.589 312.63 220.606
28 1 397.658 332.327 218.382 159.393
28 2 554.905 483.061 273.078 208.275
28 3 561.268 489.037 275.436 209.344
28 4 753.791 671.537 342.4 268.605
28 5 760.318 677.335 345.4 269.948
28 6 990.563 894.204 426.161 317.968
28 7 997.038 900.117 428.805 319.827
29 1 402.823 396.38 71.7587 61.8952
29 2 559.098 543.233 132.244 85.417
29 3 565.804 549.598 134.449 85.3051
29 4 757.757 729.398 205.363 122.769
29 5 764.325 735.704 207.199 123.012
29 6 994.529 951.944 287.907 170.966
29 7 1000.99 958.232 289.433 171.596
30 0 288.347 250.11 143.489 140.453
30 1 390.834 343.267 186.867 158.525
30 2 552.237 488.679 257.214 182.412
30 3 558.635 494.63 259.641 184.355
30 4 754.964 669.633 348.657 220.392
30 5 761.376 675.613 351.057 221.41
30 6 997.2 883.415 462.586 269.339
30 7 1003.64 889.363 465.108 269.225
31 0 288.368 250.079 143.584 -8.7005
31 1 391.232 342.483 189.124 12.204
31 2 552.683 487.663 260.083 60.2995
31 3 559.136 493.48 262.89 62.0739
31 4 754.964 669.633 348.657 122.392
31 5 761.529 675.372 351.851 123.389
31 6 995.518 885.944 454.047 171.108
31 7 1001.93 891.936 456.424 171.461
32 0 293.586 243.275 164.348 62.7265
32 1 392.74 339.736 197.04 84.9969
32 2 568.696 508.692 254.26 111.865
32 3 575.159 514.812 256.469 109.733
32 2 550.99 491.753 248.533 109.598
32 3 557.377 497.754 250.819 112.024
32 4 764.918 695.946 317.426 123.607
32 5 771.119 702.281 318.473 122.213
32 6 998.595 918.956 390.783 171.524
32 7 1004.91 925.222 392.186 171.056
33 0 294.05 283.937 76.4513 -64.5265
33 1 392.88 374.983 117.226 -61.5675
33 2 552.807 522.194 181.41 -37.8789
33 3 559.34 528.282 183.792 -36.1615
33 4 752.87 706.628 259.79 -25.7343
33 5 759.284 712.849 261.454 -24.0954
33 6 990.979 927.417 349.193 24.0365
33 7 997.525 933.448 351.755 25.7461
34 1 399.29 330.207 224.49 209.178
34 2 559.575 475.033 295.75 233.092
34 3 565.954 480.916 298.368 232.903
34 4 763.254 658.066 386.661 269.808
34 5 769.545 664.149 388.722 268.77
34 6 1004.06 874.09 494.065 368.193
34 7 1010.85 879.567 498.18 366.328
35 0 292.366 274.168 101.538 138.378
35 1 399.731 371.697 147.059 159.605
35 2 558.505 516.376 212.801 159.151
35 3 564.995 522.505 214.96 159.214
35 4 758.974 700.741 291.552 171.306
35 5 765.326 706.99 293.068 171.268
35 6 996.117 921.504 378.259 220.808
35 7 1002.65 927.549 380.747 220.977
36 0 288.206 275.833 83.5399 -111.103
36 1 394.709 373.997 126.179 -110.95
36 2 553.708 521.139 187.099 -86.1118
36 3 560.251 527.218 189.531 -84.6966
36 4 752.93 706.564 260.136 -74.1085
36 5 759.389 712.734 262.073 -72.4951
36 6 1006.77 945.272 346.474 -23.7009
36 7 1013.55 951.388 349.5 -26.1759
36 6 989.665 929.113 340.861 -26.0013
36 7 996.281 935.048 343.891 -23.8618
37 2 552.838 440.481 334.074 11.943
37 3 559.321 445.691 337.934 13.6584
37 4 758.895 618.445 439.825 73.2959
37 5 765.515 623.691 443.871 73.2449
37 6 1004.17 827.519 568.835 123.823
37 7 1010.6 833.206 571.914 121.974
38 0 289.513 275.262 89.7135 -51.1765
38 1 393.662 374.548 121.177 -37.2724
38 2 569.116 542.164 173.062 -11.7212
38 3 575.786 548.535 175.041 11.6741
38 2 550.885 524.729 167.731 -14.049
38 3 557.283 531.0 169.123 -11.5818
38 4 762.775 727.753 228.475 25.3712
38 5 769.237 734.091 229.86 24.4212
38 6 995.393 951.406 292.631 73.0898
38 7 1001.87 957.685 294.232 73.4706
39 0 288.6 275.655 85.465 152.645
39 1 395.166 373.766 128.279 183.305
39 2 554.264 520.52 190.438 208.177
39 3 560.871 526.53 193.242 209.405
39 4 753.799 705.642 265.108 220.223
39 5 760.138 711.937 266.377 221.591
39 6 990.756 927.698 347.813 268.383
39 7 997.093 933.995 349.068 270.201
40 0 294.837 259.243 140.434 208.706
40 0 287.154 252.041 137.597 206.704
40 1 388.983 347.367 175.055 232.008
40 2 564.879 511.319 240.086 282.065
40 3 571.472 517.356 242.74 280.671
40 4 764.319 696.4 314.977 319.542
40 5 770.757 702.556 316.989 318.252
40 6 1001.66 916.007 405.279 367.908
41 0 291.772 274.382 99.2229 81.6265
41 1 396.817 372.972 135.481 85.4935
41 2 554.428 520.342 191.403 110.202
41 3 560.985 526.406 193.91 111.388
41 4 753.972 705.464 266.072 122.248
41 5 760.482 711.579 268.307 123.54
41 6 992.728 925.291 359.646 170.697
41 7 999.447 931.12 363.194 171.826
42 0 295.719 284.053 82.2418 -80.5432
42 0 287.478 276.178 79.8058 -82.6025
42 1 391.658 375.71 110.624 -61.7402
42 2 565.65 542.502 160.16 -12.0568
42 3 572.3 548.875 162.063 -13.6133
42 4 759.446 728.82 213.493 24.9806
42 5 765.885 735.168 214.728 24.8157
42 6 992.134 953.517 274.109 72.605
42 7 998.449 959.907 274.735 73.9809
43 1 398.643 394.621 56.4878 37.3038
43 2 555.947 543.652 116.274 60.8098
43 3 562.833 549.988 119.561 61.5007
43 4 755.67 730.158 194.698 72.8739
43 5 762.426 736.392 197.537 73.6473
44 1 397.542 372.642 138.482 85.572
44 2 560.515 514.666 222.028 135.204
44 3 567.442 520.433 226.142 134.727
44 4 768.958 693.025 333.184 172.407
44 5 775.661 698.985 336.258 170.126
44 4 750.535 677.383 323.194 170.083
44 5 757.082 683.137 326.338 172.466
44 6 996.321 884.723 458.172 269.219
44 7 1003.19 890.028 462.865 269.286
45 0 288.49 283.48 53.5308 43.8015
45 1 388.219 378.283 87.2678 60.0404
45 2 562.441 542.842 147.182 111.231
45 3 569.341 549.187 150.143 110.322
45 4 760.585 728.445 218.763 123.118
45 5 767.102 734.766 220.374 122.669
45 6 998.204 949.74 307.254 171.473
45 7 1004.7 956.002 309.005 171.084
46 1 399.382 330.092 224.823 37.3784
46 2 560.493 473.63 299.711 61.3928
46 3 566.893 479.472 302.447 60.9826
46 4 764.845 656.117 393.063 123.599
46 5 771.501 661.746 396.617 122.172
46 6 1006.06 871.604 502.46 172.421
46 7 1012.67 877.316 505.778 170.122
46 6 989.327 856.637 494.914 170.14
46 7 995.851 862.177 498.367 172.413
47 1 400.943 395.617 65.1351 209.339
47 2 556.002 543.644 116.576 256.818
47 3 562.693 550.007 118.806 257.52
47 4 752.815 731.295 178.712 318.074
