event barcode charge pt d0
447 10001 -1 7226.09 -24.719
448 10001 1 15253.2 -5.13742
449 10001 -1 14161.1 -51.728
450 10001 1 5651.3 -18.7528
451 10001 -1 143539.0 74.6342
452 10001 -1 14616.2 89.4657
453 10001 1 11085.8 -27.361
454 10001 -1 5169.97 82.2118
455 10001 1 6320.23 54.2485
456 10001 1 5152.88 -65.1669
457 10001 -1 5411.61 9.76352
458 10001 -1 72495.3 -89.6691
459 10001 -1 9326.05 -43.9222
460 10001 1 6081.83 94.2275
461 10001 -1 8657.64 53.4403
462 10001 1 47629.4 66.3076
463 10001 1 16330.3 70.4821
464 10001 -1 18859.2 -21.2738
465 10001 1 5891.38 4.9288
466 10001 -1 12571.2 30.2521
467 10001 1 63949.1 -31.7232
468 10001 -1 9854.81 89.6781
469 10001 1 5710.19 -48.962
470 10001 -1 470508.0 -62.1613
471 10001 1 14099.9 8.30537
472 10001 -1 5241.83 -50.3085
473 10001 1 10143.7 94.6111
474 10001 -1 5064.16 -16.7087
475 10001 1 11562.9 -49.9073
476 10001 1 5975.67 -32.6062
477 10001 -1 56440.7 69.6944
478 10001 -1 5918.82 51.189
479 10001 -1 5681.75 20.6036
480 10001 1 121066.0 47.8679
481 10001 1 48866.5 69.024
482 10001 -1 20088.2 18.1413
483 10001 1 16499.3 -72.7043
484 10001 1 7904.14 22.7101
485 10001 1 5595.87 29.1219
486 10001 -1 6442.7 42.4158
487 10001 -1 16167.5 -81.558
488 10001 1 9663.14 67.745
489 10001 1 12654.0 4.18119
490 10001 -1 6071.49 -32.6805
491 10001 -1 27067.4 6.95276
492 10001 -1 9593.09 41.879
493 10001 1 18371.0 15.7678
494 10001 1 5136.23 87.8362
495 10001 1 209493.0 -33.6395
496 10001 -1 13611.7 22.4224
497 10001 -1 27047.7 -55.2135
498 10001 -1 13191.6 -37.9428
499 10001 -1 8506.78 -52.4143
500 10001 -1 8792.51 -33.2725
501 10001 1 10284.3 -45.9269
502 10001 -1 10090.1 49.4193
503 10001 1 16053.7 -44.9698
504 10001 1 20437.3 82.0525
505 10001 -1 7839.65 -54.907
506 10001 -1 10981.0 -16.7818
507 10001 1 7209.61 -29.8698
508 10001 -1 12484.3 45.8862
509 10001 -1 5247.24 -24.2895
510 10001 1 8974.74 81.3859
511 10001 -1 6380.15 40.8119
512 10001 1 8269.83 76.5316
513 10001 -1 6315.22 56.9514
514 10001 -1 27647.2 -33.314
515 10001 -1 7227.42 -9.88294
516 10001 -1 6471.9 -54.5536
517 10001 -1 6765.72 -18.0023
518 10001 -1 19248.9 -24.0122
